run_id,path_cost,goal_tests,states,succs,time_taken
0,-87,4,8,3,0.00013208389282226562
1,-85,9,29,8,0.0003848075866699219
2,-72,17,53,16,0.0006659030914306641
3,-65,30,96,29,0.0012249946594238281
4,-88,5,15,4,0.00017189979553222656
5,-82,14,44,13,0.0005519390106201172
6,-97,3,6,2,7.390975952148438e-05
7,-77,6,16,5,0.00018525123596191406
8,-67,23,76,22,0.0009598731994628906
9,-88,9,27,8,0.000308990478515625
10,-86,12,36,11,0.0004031658172607422
11,-82,14,44,13,0.0005528926849365234
12,-64,27,87,26,0.0011179447174072266
13,-79,18,61,17,0.0009038448333740234
14,-73,24,80,23,0.0009837150573730469
15,-53,30,95,29,0.0011248588562011719
16,-89,4,8,3,9.512901306152344e-05
17,-74,10,30,9,0.0004901885986328125
18,-88,8,20,7,0.00023293495178222656
19,-85,7,20,6,0.0002338886260986328
20,-89,4,10,3,0.00011801719665527344
21,-81,8,26,7,0.00031685829162597656
22,-72,21,67,20,0.000762939453125
23,-75,13,42,12,0.0005180835723876953
24,-74,21,68,20,0.0008528232574462891
25,-64,27,90,26,0.0011477470397949219
26,-74,19,57,18,0.0006861686706542969
27,-85,9,31,8,0.0004200935363769531
28,-82,9,31,8,0.00041174888610839844
29,-70,27,87,26,0.001157999038696289
30,-90,8,25,7,0.0002999305725097656
31,-75,13,43,12,0.0005040168762207031
32,-80,9,31,8,0.0003941059112548828
33,-79,6,16,5,0.0001857280731201172
34,-65,28,87,27,0.0010821819305419922
35,-90,6,14,5,0.00015401840209960938
36,-73,18,58,17,0.0006802082061767578
37,-91,3,5,2,6.914138793945312e-05
38,-97,2,3,1,4.291534423828125e-05
39,-89,3,8,2,9.512901306152344e-05
40,-85,11,32,10,0.00034308433532714844
41,-85,10,27,9,0.0003101825714111328
42,-88,5,16,4,0.0001919269561767578
43,-98,2,3,1,4.8160552978515625e-05
44,-73,21,70,20,0.0009200572967529297
45,-78,8,24,7,0.0002868175506591797
46,-85,12,38,11,0.0004570484161376953
47,-86,8,27,7,0.0003571510314941406
48,-85,5,14,4,0.0001761913299560547
49,-65,12,36,11,0.0003910064697265625
50,-70,24,78,23,0.0012078285217285156
51,-82,9,27,8,0.00033283233642578125
52,-59,26,83,25,0.0010290145874023438
53,-79,5,13,4,0.0001480579376220703
54,-66,24,76,23,0.0009741783142089844
55,-92,5,12,4,0.0001361370086669922
56,-82,13,42,12,0.0005059242248535156
57,-74,21,70,20,0.0009369850158691406
58,-79,8,25,7,0.00030517578125
59,-66,25,79,24,0.0009129047393798828
60,-79,15,47,14,0.0005209445953369141
61,-78,19,59,18,0.0007491111755371094
62,-73,17,58,16,0.0007753372192382812
63,-97,2,3,1,4.506111145019531e-05
64,-74,19,58,18,0.0006780624389648438
65,-83,5,15,4,0.00021076202392578125
66,-97,2,3,1,4.601478576660156e-05
67,-86,12,38,11,0.0004992485046386719
68,-82,9,31,8,0.00039386749267578125
69,-99,2,2,1,3.719329833984375e-05
70,-74,22,74,21,0.0009610652923583984
71,-75,20,61,19,0.0007171630859375
72,-85,9,23,8,0.0002608299255371094
73,-82,10,35,9,0.000476837158203125
74,-89,3,7,2,8.392333984375e-05
75,-94,4,12,3,0.0001399517059326172
76,-66,23,74,22,0.0008461475372314453
77,-87,5,15,4,0.00018215179443359375
78,-79,15,47,14,0.0005729198455810547
79,-85,10,28,9,0.0003368854522705078
80,-88,8,24,7,0.0003058910369873047
81,-91,3,8,2,0.00010085105895996094
82,-89,3,7,2,8.225440979003906e-05
83,-79,15,51,14,0.0006971359252929688
84,-80,6,17,5,0.0001926422119140625
85,-97,3,6,2,7.414817810058594e-05
86,-67,25,81,24,0.001024007797241211
87,-82,14,43,13,0.00048279762268066406
88,-83,13,41,12,0.0005240440368652344
89,-87,3,7,2,8.392333984375e-05
90,-90,7,20,6,0.00023293495178222656
91,-87,9,20,8,0.00021600723266601562
92,-89,4,10,3,0.00011801719665527344
93,-83,5,13,4,0.0001590251922607422
94,-79,20,68,19,0.001004934310913086
95,-83,5,16,4,0.00020694732666015625
96,-83,13,40,12,0.0005121231079101562
97,-82,15,45,14,0.00049591064453125
98,-88,5,15,4,0.00017905235290527344
99,-85,12,40,11,0.0005638599395751953
100,-91,2,2,1,3.719329833984375e-05
101,-55,33,107,32,0.001405954360961914
102,-83,9,25,8,0.0002589225769042969
103,-93,2,4,1,5.507469177246094e-05
104,-85,8,24,7,0.00026702880859375
105,-88,7,18,6,0.0003139972686767578
106,-90,8,23,7,0.00026488304138183594
107,-94,2,4,1,5.459785461425781e-05
108,-95,4,8,3,9.393692016601562e-05
109,-97,3,6,2,7.319450378417969e-05
110,-65,30,96,29,0.0012350082397460938
111,-55,31,96,30,0.0011372566223144531
112,-80,12,37,11,0.0005428791046142578
113,-79,14,45,13,0.0005738735198974609
114,-72,23,76,22,0.0010521411895751953
115,-87,11,32,10,0.000408172607421875
116,-81,17,54,16,0.0007197856903076172
117,-85,14,46,13,0.0006241798400878906
118,-88,5,13,4,0.0001552104949951172
119,-78,9,28,8,0.0003352165222167969
120,-65,30,97,29,0.0013091564178466797
121,-80,13,41,12,0.0005061626434326172
122,-66,24,81,23,0.0010340213775634766
123,-73,18,58,17,0.000797271728515625
124,-84,14,43,13,0.0005650520324707031
125,-76,10,33,9,0.000431060791015625
126,-85,12,36,11,0.0004398822784423828
127,-65,15,44,14,0.0005366802215576172
128,-85,14,46,13,0.0006389617919921875
129,-77,23,73,22,0.001007080078125
130,-82,5,13,4,0.0001537799835205078
131,-72,27,90,26,0.0012753009796142578
132,-82,12,39,11,0.0005261898040771484
133,-80,14,39,13,0.0005180835723876953
134,-65,30,99,29,0.0013680458068847656
135,-94,2,4,1,5.698204040527344e-05
136,-89,3,6,2,7.295608520507812e-05
137,-95,4,8,3,0.00011277198791503906
138,-80,11,34,10,0.00042891502380371094
139,-74,19,60,18,0.0007419586181640625
140,-90,5,11,4,0.0001862049102783203
141,-67,26,84,25,0.0009410381317138672
142,-82,6,17,5,0.0001990795135498047
143,-64,29,93,28,0.001154184341430664
144,-73,18,59,17,0.0006499290466308594
145,-91,3,6,2,7.200241088867188e-05
146,-88,9,24,8,0.0002841949462890625
147,-93,6,14,5,0.00015211105346679688
148,-89,5,15,4,0.0001952648162841797
149,-80,11,37,10,0.0005350112915039062
150,-95,2,4,1,5.7220458984375e-05
151,-65,27,88,26,0.0011670589447021484
152,-70,23,75,22,0.0008902549743652344
153,-82,15,50,14,0.0006809234619140625
154,-86,10,30,9,0.00035881996154785156
155,-86,13,41,12,0.0004968643188476562
156,-87,9,22,8,0.00024890899658203125
157,-91,3,8,2,9.512901306152344e-05
158,-70,23,73,22,0.0009071826934814453
159,-78,14,42,13,0.0005507469177246094
160,-69,24,74,23,0.000885009765625
161,-76,13,47,12,0.0006461143493652344
162,-78,8,24,7,0.000286102294921875
163,-93,3,8,2,0.00011277198791503906
164,-85,13,44,12,0.0006208419799804688
165,-73,27,89,26,0.0012431144714355469
166,-86,9,27,8,0.0002949237823486328
167,-56,26,82,25,0.0009410381317138672
168,-72,20,67,19,0.0008990764617919922
169,-70,8,21,7,0.00023293495178222656
170,-67,17,56,16,0.0006580352783203125
171,-91,4,8,3,9.131431579589844e-05
172,-85,10,30,9,0.0003268718719482422
173,-85,13,35,12,0.00039196014404296875
174,-80,12,40,11,0.0005459785461425781
175,-73,19,63,18,0.0008971691131591797
176,-73,15,49,14,0.0006797313690185547
177,-76,12,39,11,0.0005979537963867188
178,-79,8,26,7,0.0003409385681152344
179,-82,7,22,6,0.0002770423889160156
180,-90,8,26,7,0.0003399848937988281
181,-82,12,38,11,0.00043272972106933594
182,-72,24,79,23,0.0010538101196289062
183,-86,7,21,6,0.0002551078796386719
184,-80,15,46,14,0.0004930496215820312
185,-73,19,62,18,0.0007531642913818359
186,-73,25,84,24,0.0011861324310302734
187,-79,11,37,10,0.0004870891571044922
188,-82,6,14,5,0.00015997886657714844
189,-85,5,15,4,0.00022912025451660156
190,-89,3,8,2,0.00010895729064941406
191,-73,19,65,18,0.0008590221405029297
