run_id,path_cost,goal_tests,states,succs,time_taken
0,-77,34,102,30,0.0006699562072753906
1,-87,6,6,2,4.792213439941406e-05
2,-58,27,72,22,0.0004169940948486328
3,-74,20,43,13,0.00028061866760253906
4,-76,17,31,8,0.0002090930938720703
5,-96,5,4,1,3.4809112548828125e-05
6,-82,13,26,8,0.0001590251922607422
7,-91,12,23,7,0.00014495849609375
8,-91,6,6,2,4.8160552978515625e-05
9,-97,10,11,3,8.392333984375e-05
10,-91,12,19,5,0.0001227855682373047
11,-91,6,7,2,5.078315734863281e-05
12,-87,14,28,9,0.00017213821411132812
13,-91,17,29,8,0.00020241737365722656
14,-88,11,20,6,0.0001857280731201172
15,-55,35,109,33,0.0006306171417236328
16,-82,20,47,14,0.0002949237823486328
17,-44,10,18,6,0.00011396408081054688
18,-80,15,27,8,0.00017404556274414062
19,-70,25,60,17,0.00037217140197753906
20,-93,6,7,2,5.4836273193359375e-05
21,-93,8,11,4,7.605552673339844e-05
22,-67,29,76,23,0.0004527568817138672
23,-91,5,6,2,4.506111145019531e-05
24,-74,16,30,9,0.00019407272338867188
25,-86,11,16,5,0.00011205673217773438
26,-87,19,38,10,0.0002448558807373047
27,-62,25,63,18,0.0005230903625488281
28,-88,21,39,10,0.0003101825714111328
29,-70,27,61,16,0.0004470348358154297
30,-81,7,7,2,6.031990051269531e-05
31,-75,35,109,33,0.0006928443908691406
32,-85,19,38,11,0.0002460479736328125
33,-81,5,6,2,4.57763671875e-05
34,-70,32,91,28,0.0005218982696533203
35,-67,29,79,24,0.00045418739318847656
36,-55,35,107,33,0.0006017684936523438
37,-55,33,98,29,0.0006129741668701172
38,-72,18,41,13,0.00024175643920898438
39,-78,14,23,6,0.00017309188842773438
40,-82,15,28,9,0.00017499923706054688
41,-60,29,74,23,0.0004496574401855469
42,-51,32,89,27,0.0005230903625488281
43,-95,10,11,3,8.797645568847656e-05
44,-46,34,103,31,0.0005860328674316406
45,-65,30,85,26,0.0005040168762207031
46,-49,26,68,20,0.0004019737243652344
47,-97,3,4,1,3.123283386230469e-05
48,-82,13,22,6,0.00014495849609375
49,-97,2,4,1,2.9802322387695312e-05
50,-27,34,99,30,0.0005731582641601562
51,-67,21,48,14,0.0002918243408203125
52,-65,18,39,12,0.00023293495178222656
53,-75,22,50,16,0.0003101825714111328
54,-79,35,105,32,0.0006170272827148438
55,-29,23,56,17,0.0003399848937988281
56,-61,33,99,29,0.0006070137023925781
57,-70,19,46,14,0.00040984153747558594
58,-88,12,20,6,0.0001308917999267578
59,-79,31,83,25,0.0004889965057373047
60,-91,9,11,3,7.796287536621094e-05
61,-97,4,4,1,3.2901763916015625e-05
62,-97,5,4,1,3.600120544433594e-05
63,-92,3,3,1,2.7894973754882812e-05
64,-65,31,85,26,0.0004971027374267578
65,-88,23,59,18,0.000347137451171875
66,-94,15,32,10,0.00019025802612304688
67,-65,32,91,27,0.0005440711975097656
68,-94,3,2,1,2.47955322265625e-05
69,-95,11,12,3,8.869171142578125e-05
70,-94,25,61,17,0.00038313865661621094
71,-58,34,101,30,0.0006008148193359375
72,-73,31,86,25,0.0004968643188476562
73,-91,6,7,3,5.5789947509765625e-05
74,-86,24,57,17,0.0003540515899658203
75,-52,34,104,31,0.0005979537963867188
76,-55,26,68,20,0.0003960132598876953
77,-90,13,25,8,0.00015282630920410156
78,-91,16,32,9,0.00020623207092285156
79,-85,6,8,3,5.5789947509765625e-05
80,-78,30,77,21,0.0004978179931640625
81,-80,23,53,17,0.00032210350036621094
82,-76,14,27,9,0.0001678466796875
83,-58,27,75,23,0.0004298686981201172
84,-78,22,49,14,0.0003237724304199219
85,-56,26,63,19,0.0003781318664550781
86,-78,20,45,13,0.00028014183044433594
87,-74,31,83,25,0.0005130767822265625
88,-82,16,27,7,0.0001850128173828125
89,-74,12,18,7,0.00011706352233886719
90,-85,19,39,11,0.00025200843811035156
91,-93,7,8,2,5.793571472167969e-05
92,-89,10,11,3,8.082389831542969e-05
93,-72,27,74,22,0.00042510032653808594
94,-15,22,48,14,0.0002989768981933594
95,-97,9,12,3,8.106231689453125e-05
96,-86,26,67,19,0.00042319297790527344
97,-80,19,46,14,0.00026702880859375
98,-84,12,18,7,0.00011801719665527344
99,-55,25,62,19,0.0003631114959716797
100,-87,8,11,3,7.295608520507812e-05
101,-79,31,85,25,0.0004968643188476562
102,-89,7,7,2,8.177757263183594e-05
103,-1,33,97,28,0.0006189346313476562
104,-18,22,48,14,0.00031185150146484375
105,-88,17,33,9,0.0002219676971435547
106,-85,5,6,2,4.696846008300781e-05
107,-68,17,36,11,0.00023293495178222656
108,-92,2,3,1,3.0040740966796875e-05
109,-84,14,23,6,0.00015592575073242188
110,-79,34,99,30,0.000576019287109375
111,-82,15,22,6,0.00015282630920410156
112,-94,3,2,1,2.4080276489257812e-05
113,-78,22,49,14,0.00030684471130371094
114,-65,20,47,14,0.0002779960632324219
115,-53,32,90,27,0.0005259513854980469
116,-97,7,9,4,6.508827209472656e-05
117,-95,6,7,2,5.1021575927734375e-05
118,-61,27,66,20,0.00040078163146972656
119,-70,26,59,16,0.00040602684020996094
120,-41,8,8,2,6.222724914550781e-05
121,-100,3,3,1,2.7894973754882812e-05
122,-73,33,99,29,0.0005922317504882812
123,-89,10,11,3,8.130073547363281e-05
124,-23,26,68,20,0.0004191398620605469
125,-94,14,26,9,0.00016117095947265625
126,-79,30,81,24,0.00048279762268066406
127,-97,6,8,3,6.508827209472656e-05
128,-78,20,45,13,0.0002758502960205078
129,-84,9,17,6,0.00010609626770019531
130,-90,9,13,4,8.797645568847656e-05
131,-85,6,6,2,4.792213439941406e-05
132,-85,8,8,2,6.198883056640625e-05
133,-85,5,6,2,4.696846008300781e-05
134,-93,2,3,1,3.0994415283203125e-05
135,-94,5,4,1,3.814697265625e-05
136,-92,12,19,6,0.00012803077697753906
137,-82,10,16,5,0.00010800361633300781
138,-89,9,12,3,0.00010013580322265625
139,-61,27,70,21,0.0004248619079589844
140,-78,24,54,15,0.0003657341003417969
141,-75,12,20,6,0.00013780593872070312
142,-88,13,20,6,0.00013589859008789062
143,-95,18,33,9,0.00022482872009277344
144,-88,31,87,25,0.0005421638488769531
145,-65,31,84,26,0.0004949569702148438
146,1,35,107,33,0.000621795654296875
147,-92,5,4,1,3.5762786865234375e-05
148,-55,22,48,16,0.0002930164337158203
149,-24,14,29,9,0.00017404556274414062
150,-80,20,48,15,0.0002849102020263672
151,-87,3,4,2,3.409385681152344e-05
152,-78,8,10,4,7.104873657226562e-05
153,-83,30,81,24,0.00047898292541503906
154,-70,30,75,22,0.0005061626434326172
155,-89,7,7,2,5.793571472167969e-05
156,-83,8,8,2,8.0108642578125e-05
157,-85,20,47,14,0.0003452301025390625
158,-86,23,53,15,0.00034689903259277344
159,-80,22,48,14,0.0003032684326171875
160,-78,19,41,12,0.000263214111328125
161,-88,19,38,11,0.00025177001953125
162,-78,22,49,14,0.00030303001403808594
163,-73,26,64,20,0.0003781318664550781
164,-86,18,41,12,0.0002498626708984375
165,-91,27,71,21,0.00041794776916503906
166,-86,22,47,14,0.0002930164337158203
167,-91,13,26,8,0.0001590251922607422
168,-15,22,53,16,0.00033211708068847656
169,-92,4,3,1,2.8848648071289062e-05
170,-83,8,8,2,6.008148193359375e-05
171,-93,9,11,3,7.700920104980469e-05
172,-89,20,35,9,0.00024008750915527344
173,-44,30,83,25,0.0004889965057373047
174,-40,29,75,22,0.0004658699035644531
175,-85,22,43,11,0.00031280517578125
176,-95,9,10,3,7.700920104980469e-05
177,-79,16,36,11,0.00022673606872558594
178,-25,26,68,20,0.00045013427734375
179,-84,30,85,26,0.0005192756652832031
180,-44,24,61,18,0.0003840923309326172
181,-97,15,28,8,0.00017786026000976562
182,-80,20,44,14,0.0002868175506591797
183,-86,15,29,9,0.00018262863159179688
184,-82,16,31,9,0.00019621849060058594
185,-79,34,101,30,0.0006041526794433594
186,-93,11,15,4,0.0001068115234375
