run_id,path_cost,goal_tests,states,succs,time_taken
0,-43,17,48,16,0.0004711151123046875
1,-11,20,61,19,0.0005221366882324219
2,-39,18,51,17,0.00043511390686035156
3,-48,23,71,22,0.0006229877471923828
4,-57,11,32,10,0.0002627372741699219
5,-25,18,54,17,0.0004990100860595703
6,-95,2,3,1,3.5762786865234375e-05
7,-79,8,25,7,0.0002200603485107422
8,-70,30,91,29,0.000720977783203125
9,-72,7,20,6,0.00017523765563964844
10,-70,32,97,31,0.0007729530334472656
11,-29,19,57,18,0.0004951953887939453
12,-4,12,37,11,0.00032711029052734375
13,-55,11,35,10,0.00031185150146484375
14,-27,24,72,23,0.0006048679351806641
15,0,14,43,13,0.0004038810729980469
16,-28,14,44,13,0.0004200935363769531
17,-97,34,104,33,0.0008270740509033203
18,-82,4,11,3,9.584426879882812e-05
19,-21,14,42,13,0.00035309791564941406
20,-67,6,17,5,0.00014519691467285156
21,17,19,59,18,0.0005168914794921875
22,-43,25,75,24,0.0006508827209472656
23,-64,31,94,30,0.00074005126953125
24,9,16,51,15,0.0004489421844482422
25,-91,33,102,32,0.0008161067962646484
26,-73,4,9,3,8.20159912109375e-05
27,-50,23,69,22,0.0006129741668701172
28,-80,29,87,28,0.0007009506225585938
29,-72,4,8,3,7.510185241699219e-05
30,-65,27,85,26,0.0007219314575195312
31,-65,31,97,30,0.0008780956268310547
32,20,17,55,16,0.0004942417144775391
33,-74,5,14,4,0.00012087821960449219
34,-87,3,7,2,6.4849853515625e-05
35,19,16,52,15,0.00047206878662109375
36,-57,9,23,8,0.00018405914306640625
37,-82,26,81,25,0.0007021427154541016
38,1,23,65,22,0.0005490779876708984
39,-32,22,67,21,0.0006163120269775391
40,-64,10,31,9,0.0002651214599609375
41,-52,9,28,8,0.000247955322265625
42,-46,22,68,21,0.0006048679351806641
43,-89,29,93,28,0.0008020401000976562
44,-52,11,33,10,0.0002789497375488281
45,-85,3,8,2,7.510185241699219e-05
46,37,19,60,18,0.0005371570587158203
47,-76,10,30,9,0.00026607513427734375
48,-89,3,7,2,7.104873657226562e-05
49,-68,25,74,24,0.0006437301635742188
50,-95,33,104,32,0.0008177757263183594
51,-65,6,14,5,0.00011897087097167969
52,-82,29,87,28,0.0007290840148925781
53,-33,24,72,23,0.0006151199340820312
54,-65,11,30,10,0.00025081634521484375
55,-79,29,89,28,0.0007109642028808594
56,-8,13,37,12,0.0003120899200439453
57,-22,16,51,15,0.0004730224609375
58,-65,29,89,28,0.0007061958312988281
59,-34,20,60,19,0.000514984130859375
60,-74,5,15,4,0.00012993812561035156
61,-82,29,90,28,0.0007450580596923828
62,-85,33,101,32,0.0007758140563964844
63,-88,4,12,3,0.00010609626770019531
64,-88,33,103,32,0.0007941722869873047
65,-5,11,34,10,0.0002999305725097656
66,-71,10,26,9,0.00021195411682128906
67,-18,23,68,22,0.0005991458892822266
68,-78,27,84,26,0.0007112026214599609
69,-62,6,17,5,0.00014519691467285156
70,-59,11,32,10,0.00026917457580566406
71,-78,5,14,4,0.000125885009765625
72,-63,7,21,6,0.0001819133758544922
73,33,22,64,21,0.0005712509155273438
74,-68,32,100,31,0.0007889270782470703
75,-87,3,5,2,5.078315734863281e-05
76,-15,20,61,19,0.0005140304565429688
77,-7,14,39,13,0.00030994415283203125
78,-22,19,58,18,0.0005087852478027344
79,-55,32,99,31,0.0007669925689697266
80,-81,4,11,3,9.703636169433594e-05
81,4,14,42,13,0.0003650188446044922
82,-65,30,93,29,0.0007500648498535156
83,-80,4,9,3,7.796287536621094e-05
84,-49,24,76,23,0.0006690025329589844
