run_id,path_cost,goal_tests,states,succs,time_taken
0,198,43,141,40,0.0007140636444091797
1,-91,2,2,1,2.09808349609375e-05
2,185,113,208,59,0.0010559558868408203
3,272,109,165,59,0.0009789466857910156
4,227,58,154,44,0.0007758140563964844
5,185,200,292,82,0.001661062240600586
6,182,254,328,97,0.0017578601837158203
7,188,67,163,46,0.0007910728454589844
8,158,43,140,40,0.0006630420684814453
9,176,980,1073,311,0.006166934967041016
10,128,273,362,103,0.0020008087158203125
11,178,254,332,97,0.0018310546875
12,74,6323,6372,1837,0.036787986755371094
13,192,10416,10507,2956,0.06055593490600586
14,102,3259,3347,963,0.01921820640563965
15,251,452,507,165,0.0028429031372070312
16,141,355,447,129,0.0024788379669189453
17,213,47707,47760,14370,0.27394628524780273
18,-90,5,11,4,7.033348083496094e-05
19,155,49,143,41,0.0006902217864990234
20,88,315,367,120,0.0020520687103271484
21,200,9069,9157,2657,0.18395233154296875
22,214,566,640,201,0.022638797760009766
23,83,402,481,151,0.010186195373535156
24,231,6831,6885,1986,0.06068992614746094
25,-65,6,19,5,0.00011491775512695312
26,175,988,1081,303,0.006640911102294922
27,182,317,409,115,0.002446889877319336
28,970,45,86,41,0.0005371570587158203
29,154,52,149,42,0.0007631778717041016
30,193,49,124,41,0.0006690025329589844
31,188,116,212,60,0.0012178421020507812
32,192,10356,10445,2936,0.06013607978820801
33,103,1753,1807,537,0.010395288467407227
34,122,447,535,154,0.002904176712036133
35,238,48,144,41,0.0006971359252929688
36,1078,107,203,58,0.0010230541229248047
37,126,12104,12190,3473,0.07010602951049805
38,204,2984,3077,888,0.017402172088623047
39,187,122,215,61,0.0011129379272460938
40,-96,2,3,1,2.5033950805664062e-05
41,-90,2,3,1,2.47955322265625e-05
42,266,87,144,54,0.0007910728454589844
43,188,64,159,45,0.0007860660552978516
44,232,42,141,40,0.0006778240203857422
45,86,1689,1740,515,0.009870052337646484
46,188,140,232,65,0.0011889934539794922
47,-65,6,19,5,9.703636169433594e-05
48,287,6309,6363,1931,0.036562204360961914
49,150,62,156,45,0.0007717609405517578
50,-89,3,8,2,4.673004150390625e-05
51,185,54,149,42,0.0007660388946533203
52,108,2792,2864,924,0.016615867614746094
53,272,42,101,40,0.0005438327789306641
54,108,318,409,118,0.0022389888763427734
55,156,56,132,44,0.0006740093231201172
56,251,1504,1559,457,0.008923053741455078
57,188,94,169,55,0.0008902549743652344
58,102,270,364,107,0.0019676685333251953
59,74,632,685,214,0.003935813903808594
60,198,6796,6885,2178,0.03964710235595703
61,266,53,110,43,0.0005829334259033203
62,189,164,256,71,0.0013289451599121094
63,112,60,157,45,0.0007722377777099609
64,950,752,845,257,0.004792928695678711
65,244,1762,1817,538,0.010371923446655273
66,-85,4,12,3,6.508827209472656e-05
67,144,113,209,59,0.0010709762573242188
68,88,319,371,121,0.002095937728881836
69,1004,355,447,122,0.002561807632446289
70,246,1842,1896,586,0.010799884796142578
71,186,69,164,46,0.0008270740509033203
72,154,47,145,41,0.0006930828094482422
73,112,61,158,45,0.0007617473602294922
74,-65,6,19,5,9.894371032714844e-05
75,150,116,211,60,0.0010619163513183594
76,65,191,246,85,0.0013611316680908203
77,64,533,586,193,0.0033011436462402344
78,183,110,206,58,0.0010340213775634766
79,162,58,152,43,0.0007281303405761719
80,102,5765,5817,1725,0.03385806083679199
81,1060,56,150,43,0.0008502006530761719
82,234,321,415,116,0.0022249221801757812
83,-73,4,9,3,5.507469177246094e-05
84,-91,3,8,2,4.601478576660156e-05
85,215,275,371,107,0.0019788742065429688
86,68,105,179,59,0.0009398460388183594
87,887,36460,36548,10266,0.21085619926452637
88,56,1749,1803,538,0.07002806663513184
89,978,61,117,45,0.001584768295288086
90,253,726,781,252,0.02199697494506836
91,148,52,149,42,0.004408121109008789
92,125,520,607,176,0.028194665908813477
93,177,139,233,65,0.011992216110229492
94,202,57,151,43,0.0028378963470458984
95,135,3218,3308,963,0.08977603912353516
96,197,66,140,46,0.004258155822753906
97,251,610,665,208,0.005323886871337891
98,262,205,260,90,0.0017161369323730469
99,152,112,188,59,0.0010619163513183594
100,3,3017,3067,882,0.019097089767456055
101,124,104,195,56,0.0010650157928466797
102,276,57,114,45,0.0006480216979980469
103,182,359,451,130,0.0026810169219970703
104,188,64,159,45,0.0008261203765869141
105,92,9905,9993,2864,0.05870485305786133
106,185,116,208,61,0.0010859966278076172
107,232,61,156,45,0.0007679462432861328
108,219,299,392,113,0.002123117446899414
109,139,3627,3715,1059,0.021283864974975586
110,230,12714,12768,3834,0.07427620887756348
111,158,274,363,105,0.002065896987915039
112,222,187,279,80,0.0015177726745605469
113,152,62,158,45,0.0007910728454589844
114,254,187,243,84,0.0013408660888671875
115,219,274,367,108,0.002167940139770508
116,141,3637,3725,1044,0.022270917892456055
117,1045,60,139,44,0.0007159709930419922
118,219,275,368,107,0.001950979232788086
119,223,63,157,45,0.0007586479187011719
120,124,615,668,211,0.004044055938720703
121,116,50,145,41,0.0007531642913818359
122,230,20214,20266,5977,0.12121105194091797
123,112,47,125,41,0.0006279945373535156
124,-90,5,11,4,6.508827209472656e-05
125,102,277,372,108,0.0019829273223876953
126,118,48,144,41,0.0006852149963378906
127,234,46,104,41,0.0005400180816650391
128,136,849,940,283,0.0054399967193603516
129,274,50,108,42,0.0005900859832763672
130,256,503,558,183,0.0032269954681396484
131,261,47,103,41,0.0005550384521484375
132,258,190,247,85,0.0014300346374511719
133,150,63,159,45,0.00080108642578125
134,215,541,633,188,0.0036211013793945312
135,-88,4,9,3,5.507469177246094e-05
136,926,15647,15701,4655,0.09229493141174316
