run_id,path_cost,goal_tests,states,succs,time_taken
0,-82,8,24,7,0.00034499168395996094
1,-71,25,81,24,0.0009069442749023438
2,-88,7,18,6,0.0001919269561767578
3,-97,3,8,2,8.869171142578125e-05
4,-70,25,80,24,0.0008490085601806641
5,-65,11,31,10,0.00031375885009765625
6,-85,12,36,11,0.0003662109375
7,-88,9,26,8,0.00027489662170410156
8,-67,18,54,17,0.0006060600280761719
9,-94,2,4,1,5.078315734863281e-05
10,-82,15,45,14,0.00047087669372558594
11,-92,2,3,1,4.363059997558594e-05
12,-87,3,8,2,8.916854858398438e-05
13,-85,16,50,15,0.0005288124084472656
14,-83,18,55,17,0.0006330013275146484
15,-88,6,13,5,0.00013184547424316406
16,-79,20,64,19,0.0008289813995361328
17,-82,9,30,8,0.0003619194030761719
18,-91,8,21,7,0.00021195411682128906
19,-86,13,39,12,0.00043010711669921875
20,-95,6,15,5,0.00015091896057128906
21,-88,11,30,10,0.0002980232238769531
22,-72,14,40,13,0.00048279762268066406
23,-83,3,5,2,6.127357482910156e-05
24,-91,2,3,1,4.1961669921875e-05
25,-60,30,95,29,0.001024007797241211
26,-75,21,63,20,0.0007109642028808594
27,-93,2,3,1,4.38690185546875e-05
28,-80,17,56,16,0.0006148815155029297
29,-79,24,80,23,0.0009829998016357422
30,-93,2,3,1,4.410743713378906e-05
31,-97,5,13,4,0.00014209747314453125
32,-79,24,76,23,0.0009338855743408203
33,-91,7,23,6,0.00026702880859375
34,-86,12,31,11,0.0003142356872558594
35,-90,15,51,14,0.0006430149078369141
36,-89,3,4,2,5.1975250244140625e-05
37,-79,20,62,19,0.0006880760192871094
38,-98,2,4,1,5.1975250244140625e-05
39,-79,13,34,12,0.00035190582275390625
40,-92,9,29,8,0.0003457069396972656
41,-95,2,4,1,5.1975250244140625e-05
42,-87,3,7,2,7.796287536621094e-05
43,-67,24,78,23,0.0008509159088134766
44,-65,27,90,26,0.0009920597076416016
45,-86,14,50,13,0.0006468296051025391
46,-96,2,4,1,5.1021575927734375e-05
47,-70,28,95,27,0.0011038780212402344
48,-88,13,45,12,0.0005691051483154297
49,-96,2,4,1,5.1021575927734375e-05
50,-72,10,29,9,0.00032210350036621094
51,-78,22,70,21,0.0007829666137695312
52,-79,19,63,18,0.0008420944213867188
53,-94,7,20,6,0.00023293495178222656
54,-82,14,41,13,0.0005199909210205078
55,-86,16,51,15,0.0005571842193603516
56,-87,4,12,3,0.0001380443572998047
57,-97,2,4,1,5.316734313964844e-05
58,-74,24,82,23,0.0011131763458251953
59,-92,2,4,1,5.507469177246094e-05
60,-84,9,27,8,0.0002999305725097656
61,-91,3,5,2,8.106231689453125e-05
62,-97,5,14,4,0.00015473365783691406
63,-95,2,4,1,5.125999450683594e-05
64,-73,14,43,13,0.00044608116149902344
65,-85,7,22,6,0.0002627372741699219
66,-74,10,30,9,0.00033164024353027344
67,-62,32,102,31,0.0010781288146972656
68,-78,19,61,18,0.0006768703460693359
69,-74,14,41,13,0.0004119873046875
70,-64,29,93,28,0.0009748935699462891
71,-73,26,86,25,0.0010149478912353516
72,-87,5,14,4,0.00015306472778320312
73,-91,3,5,2,8.702278137207031e-05
74,-73,31,101,30,0.0012810230255126953
75,-85,16,55,15,0.000705718994140625
76,-77,24,79,23,0.001046895980834961
77,-72,28,90,27,0.0011866092681884766
78,-93,3,6,2,8.0108642578125e-05
79,-75,25,80,24,0.0010957717895507812
80,-73,26,86,25,0.0009520053863525391
81,-95,2,3,1,4.291534423828125e-05
82,-79,19,60,18,0.0006830692291259766
83,-91,5,13,4,0.0001380443572998047
84,-85,15,47,14,0.0005118846893310547
85,-97,4,9,3,9.512901306152344e-05
86,-68,12,37,11,0.00042510032653808594
87,-79,26,87,25,0.0011019706726074219
88,-65,31,97,30,0.0011060237884521484
89,-67,23,76,22,0.0008981227874755859
90,-94,2,2,1,3.910064697265625e-05
91,-85,14,43,13,0.0005450248718261719
92,-67,26,81,25,0.0008890628814697266
93,-78,21,65,20,0.0008158683776855469
94,-74,25,81,24,0.0009732246398925781
95,-76,23,75,22,0.0007817745208740234
96,-86,12,35,11,0.00035500526428222656
97,-94,2,3,1,4.482269287109375e-05
98,-91,4,11,3,0.00013399124145507812
99,-82,11,37,10,0.00045228004455566406
100,-90,13,41,12,0.0005011558532714844
101,-94,2,4,1,5.507469177246094e-05
102,-80,21,72,20,0.0009469985961914062
103,-79,18,59,17,0.0007421970367431641
104,-95,4,11,3,0.0001308917999267578
105,-94,2,3,1,4.315376281738281e-05
106,-88,13,38,12,0.00039696693420410156
107,-89,4,11,3,0.00012493133544921875
108,-73,22,69,21,0.0007390975952148438
109,-84,18,58,17,0.0007219314575195312
